sequence_id,model,cross_entropy,perplexity
seq6064,baseline,1.3897011,4.0136504
seq6065,baseline,1.3821357,3.9833999
seq6066,baseline,1.3947964,4.034153
seq6067,baseline,1.389091,4.0112023
seq6068,baseline,1.3930998,4.0273147
seq6069,baseline,1.3770196,3.9630728
seq6070,baseline,1.3893931,4.0124145
seq6071,baseline,1.3954083,4.0366225
seq6072,baseline,1.3889998,4.010836
seq6073,baseline,1.3822905,3.9840164
seq6074,baseline,1.3851299,3.9953449
seq6075,baseline,1.3855166,3.9968905
seq6076,baseline,1.3796172,3.9733808
seq6077,baseline,1.3844497,3.9926283
seq6078,baseline,1.3863155,4.0000844
seq6079,baseline,1.3886005,4.009235
seq6080,baseline,1.3911026,4.019279
seq6081,baseline,1.3763632,3.9604719
seq6082,baseline,1.377624,3.965469
seq6083,baseline,1.3831304,3.9873643
seq6084,baseline,1.382189,3.9836123
seq6085,baseline,1.3875732,4.0051184
seq6086,baseline,1.3894352,4.012583
seq6087,baseline,1.3883282,4.008144
seq6088,baseline,1.3897593,4.0138836
seq6089,baseline,1.389342,4.012209
seq6090,baseline,1.3884387,4.008587
seq6091,baseline,1.3876323,4.0053554
seq6092,baseline,1.3838903,3.990395
seq6093,baseline,1.3903301,4.0161757
seq6094,baseline,1.3911858,4.0196133
seq6095,baseline,1.3707887,3.9384558
seq6096,baseline,1.380695,3.977665
seq6097,baseline,1.3771234,3.9634833
seq6098,baseline,1.3820785,3.9831724
seq6099,baseline,1.3879911,4.0067925
seq6100,baseline,1.3833015,3.9880462
seq6101,baseline,1.3809322,3.978609
seq6102,baseline,1.3829614,3.9866905
seq6103,baseline,1.3760103,3.9590745
seq6104,baseline,1.3968093,4.0422816
seq6105,baseline,1.3863925,4.0003924
seq6106,baseline,1.3897543,4.013864
seq6107,baseline,1.3829938,3.9868195
seq6108,baseline,1.3905656,4.017122
seq6109,baseline,1.3834245,3.9885373
seq6110,baseline,1.3859228,3.998514
seq6111,baseline,1.3858135,3.9980772
seq6112,baseline,1.3814336,3.9806042
seq6113,baseline,1.3843774,3.9923391
seq6114,baseline,1.3977609,4.04613
seq6115,baseline,1.3906516,4.017467
seq6116,baseline,1.3833107,3.9880834
seq6117,baseline,1.3850148,3.994885
seq6118,baseline,1.3913733,4.020367
seq6119,baseline,1.3827062,3.9856727
seq6120,baseline,1.3822815,3.983981
seq6121,baseline,1.392103,4.023302
seq6122,baseline,1.3890121,4.0108857
seq6123,baseline,1.3898742,4.014345
seq6124,baseline,1.3771533,3.963602
seq6125,baseline,1.3783821,3.9684758
seq6126,baseline,1.3910805,4.0191903
seq6127,baseline,1.3903091,4.0160913
seq6128,baseline,1.3919033,4.0224986
seq6129,baseline,1.3905692,4.017136
seq6130,baseline,1.386761,4.001867
seq6131,baseline,1.3906988,4.0176563
seq6132,baseline,1.380675,3.9775853
seq6133,baseline,1.3842499,3.9918306
seq6134,baseline,1.3759494,3.9588335
seq6135,baseline,1.3849027,3.9944372
seq6136,baseline,1.3855809,3.9971473
seq6137,baseline,1.3791732,3.9716165
seq6138,baseline,1.3827592,3.9858842
seq6139,baseline,1.384493,3.9928007
seq6140,baseline,1.3766688,3.9616826
seq6141,baseline,1.3823266,3.9841607
seq6142,baseline,1.3848025,3.994037
seq6143,baseline,1.384741,3.993791
seq6144,baseline,1.387675,4.0055265
seq6145,baseline,1.3849651,3.9946864
seq6146,baseline,1.3848767,3.9943333
seq6147,baseline,1.3912272,4.0197806
seq6148,baseline,1.3851447,3.995404
seq6149,baseline,1.3769134,3.9626517
seq6150,baseline,1.3919185,4.02256
seq6151,baseline,1.3753785,3.956574
seq6152,baseline,1.3839233,3.9905267
seq6153,baseline,1.3918443,4.0222616
seq6154,baseline,1.3760178,3.9591043
seq6155,baseline,1.3740246,3.951221
seq6156,baseline,1.3909311,4.01859
seq6157,baseline,1.384917,3.9944944
seq6158,baseline,1.3890343,4.010975
seq6159,baseline,1.3800746,3.9751985
seq6160,baseline,1.3867971,4.0020113
seq6161,baseline,1.3877805,4.0059495
seq6162,baseline,1.3908681,4.018337
seq6163,baseline,1.3872864,4.00397
seq6164,baseline,1.3871557,4.0034466
seq6165,baseline,1.3816161,3.9813306
seq6166,baseline,1.3845292,3.9929457
seq6167,baseline,1.3770244,3.9630914
seq6168,baseline,1.3807142,3.9777412
seq6169,baseline,1.3845224,3.9929183
seq6170,baseline,1.4010036,4.059272
seq6171,baseline,1.3869778,4.0027347
seq6172,baseline,1.3896582,4.0134783
seq6173,baseline,1.3770022,3.9630036
seq6174,baseline,1.3896571,4.013474
seq6175,baseline,1.3883811,4.008356
seq6176,baseline,1.3904269,4.0165644
seq6177,baseline,1.3862082,3.9996555
seq6178,baseline,1.3916297,4.0213985
seq6179,baseline,1.3863144,4.00008
seq6180,baseline,1.3836004,3.9892383
seq6181,baseline,1.3761824,3.9597561
seq6182,baseline,1.3881017,4.007236
seq6183,baseline,1.3821201,3.9833376
seq6184,baseline,1.3793622,3.972367
seq6185,baseline,1.3865534,4.001036
seq6186,baseline,1.3787942,3.9701114
seq6187,baseline,1.3821348,3.983396
seq6188,baseline,1.3867406,4.0017853
seq6189,baseline,1.3851336,3.99536
seq6190,baseline,1.3734871,3.9490979
seq6191,baseline,1.3880883,4.0071826
seq6192,baseline,1.3829397,3.986604
seq6193,baseline,1.3966757,4.041742
seq6194,baseline,1.3831775,3.9875522
seq6195,baseline,1.3890741,4.011134
seq6196,baseline,1.3979721,4.0469847
seq6197,baseline,1.3810734,3.97917
seq6198,baseline,1.3895664,4.0131097
seq6199,baseline,1.3843752,3.9923306
seq6200,baseline,1.3919183,4.022559
seq6201,baseline,1.3887326,4.0097647
seq6202,baseline,1.3862156,3.999685
seq6203,baseline,1.396678,4.041751
seq6204,baseline,1.3798478,3.9742963
seq6205,baseline,1.3830347,3.9869823
seq6206,baseline,1.3826864,3.9855943
seq6207,baseline,1.3865527,4.001034
seq6208,baseline,1.3947272,4.0338745
seq6209,baseline,1.3883152,4.0080914
seq6210,baseline,1.3901609,4.015496
seq6211,baseline,1.3937912,4.0301003
seq6212,baseline,1.3834367,3.988586
seq6213,baseline,1.389438,4.0125947
seq6214,baseline,1.3806953,3.9776664
seq6215,baseline,1.3790509,3.9711306
seq6216,baseline,1.3860885,3.9991763
seq6217,baseline,1.379162,3.9715717
seq6218,baseline,1.3827095,3.9856863
seq6219,baseline,1.38212,3.9833374
seq6220,baseline,1.3968382,4.0423985
seq6221,baseline,1.3914772,4.0207853
seq6222,baseline,1.3872962,4.0040092
seq6223,baseline,1.3866533,4.001436
seq6224,baseline,1.3882793,4.007948
seq6225,baseline,1.3861091,3.9992592
seq6226,baseline,1.3744181,3.9527762
seq6227,baseline,1.3818272,3.9821713
seq6228,baseline,1.3834375,3.9885893
seq6229,baseline,1.3813251,3.9801722
seq6230,baseline,1.3906113,4.017305
seq6231,baseline,1.3799284,3.9746168
seq6232,baseline,1.3733046,3.948377
seq6233,baseline,1.3839605,3.9906754
seq6234,baseline,1.3871924,4.0035934
seq6235,baseline,1.39541,4.036629
seq6236,baseline,1.3907342,4.0177984
seq6237,baseline,1.3860195,3.9989007
seq6238,baseline,1.3911685,4.019544
seq6239,baseline,1.3763256,3.9603233
seq6240,baseline,1.3807299,3.9778042
seq6241,baseline,1.3850383,3.9949787
seq6242,baseline,1.3925494,4.0250983
seq6243,baseline,1.3839306,3.990556
seq6244,baseline,1.3912939,4.020048
seq6245,baseline,1.3787653,3.9699972
seq6246,baseline,1.3910748,4.0191674
seq6247,baseline,1.3826174,3.9853191
seq6248,baseline,1.3853387,3.9961789
seq6249,baseline,1.3934678,4.0287967
seq6250,baseline,1.3856257,3.9973264
seq6251,baseline,1.3974894,4.045032
seq6252,baseline,1.385461,3.9966679
seq6253,baseline,1.3753686,3.9565346
seq6254,baseline,1.3869766,4.0027304
seq6255,baseline,1.3915169,4.020945
seq6256,baseline,1.3773172,3.964252
seq6257,baseline,1.385727,3.9977314
seq6258,baseline,1.3854808,3.9967468
seq6259,baseline,1.3796337,3.9734457
seq6260,baseline,1.383548,3.98903
seq6261,baseline,1.3960388,4.039168
seq6262,baseline,1.3850877,3.9951766
seq6263,baseline,1.3845873,3.9931772
seq6264,baseline,1.384537,3.9929767
seq6265,baseline,1.3908134,4.018117
seq6266,baseline,1.3806045,3.9773054
seq6267,baseline,1.3933316,4.0282483
seq6268,baseline,1.3837856,3.9899778
seq6269,baseline,1.390174,4.0155487
seq6270,baseline,1.3832914,3.9880059
seq6271,baseline,1.3892201,4.01172
seq6272,baseline,1.3831416,3.9874094
seq6273,baseline,1.3908212,4.0181484
seq6274,baseline,1.3964553,4.040851
seq6275,baseline,1.3858554,3.9982445
seq6276,baseline,1.3875027,4.004836
seq6277,baseline,1.3793933,3.9724908
seq6278,baseline,1.3858279,3.9981346
seq6279,baseline,1.3897198,4.0137253
seq6280,baseline,1.3810803,3.9791977
seq6281,baseline,1.3782271,3.9678607
seq6282,baseline,1.3829068,3.9864726
seq6283,baseline,1.3737935,3.9503076
seq6284,baseline,1.3908775,4.0183744
seq6285,baseline,1.3903751,4.0163565
seq6286,baseline,1.3860523,3.9990315
seq6287,baseline,1.3869858,4.0027666
seq6288,baseline,1.380354,3.976309
seq6289,baseline,1.3746814,3.9538167
seq6290,baseline,1.3826767,3.9855554
seq6291,baseline,1.3880453,4.00701
seq6292,baseline,1.3791487,3.9715195
seq6293,baseline,1.3734558,3.948974
seq6294,baseline,1.379839,3.9742613
seq6295,baseline,1.3845162,3.992894
seq6296,baseline,1.3856919,3.997591
seq6297,baseline,1.3842547,3.9918497
seq6298,baseline,1.3821521,3.9834652
seq6299,baseline,1.3934231,4.0286164
seq6300,baseline,1.3780284,3.9670722
seq6301,baseline,1.3827089,3.9856842
seq6302,baseline,1.3802257,3.9757988
seq6303,baseline,1.3937554,4.029956
seq6304,baseline,1.3821553,3.9834778
seq6305,baseline,1.3838899,3.990394
seq6306,baseline,1.3873551,4.0042453
seq6307,baseline,1.3857853,3.9979644
seq6308,baseline,1.3777772,3.9660764
seq6309,baseline,1.3832933,3.9880137
seq6310,baseline,1.3816658,3.9815283
seq6311,baseline,1.3817599,3.981903
seq6312,baseline,1.3803316,3.9762201
seq6313,baseline,1.3879634,4.0066814
seq6314,baseline,1.3937665,4.0300007
seq6315,baseline,1.3918126,4.022134
seq6316,baseline,1.3773192,3.96426
seq6317,baseline,1.3804413,3.976656
seq6318,baseline,1.3883015,4.0080366
seq6319,baseline,1.3846165,3.9932942
seq6320,baseline,1.3856305,3.9973454
seq6321,baseline,1.3792363,3.9718673
seq6322,baseline,1.3947036,4.0337787
seq6323,baseline,1.3854979,3.9968157
seq6324,baseline,1.3868091,4.0020595
seq6325,baseline,1.3857611,3.9978676
seq6326,baseline,1.390417,4.016525
seq6327,baseline,1.3851353,3.995366
seq6328,baseline,1.3900496,4.015049
seq6329,baseline,1.3959876,4.038962
seq6330,baseline,1.384771,3.9939113
seq6331,baseline,1.3867275,4.001733
seq6332,baseline,1.3890514,4.0110435
seq6333,baseline,1.3770859,3.9633353
seq6334,baseline,1.3884622,4.008681
seq6335,baseline,1.379299,3.9721162
seq6336,baseline,1.3860059,3.998846
seq6337,baseline,1.3841652,3.9914923
seq6338,baseline,1.3815324,3.9809973
seq6339,baseline,1.3809134,3.9785337
seq6340,baseline,1.391853,4.0222964
seq6341,baseline,1.3895642,4.0131006
seq6342,baseline,1.3794026,3.9725277
seq6343,baseline,1.3872588,4.0038595
seq6344,baseline,1.3847528,3.9938383
seq6345,baseline,1.3871263,4.0033298
seq6346,baseline,1.384606,3.9932525
seq6347,baseline,1.384967,3.994694
seq6348,baseline,1.3919582,4.0227194
seq6349,baseline,1.3909289,4.018581
seq6350,baseline,1.3878802,4.006348
seq6351,baseline,1.384768,3.993899
seq6352,baseline,1.382184,3.9835923
seq6353,baseline,1.3845226,3.9929192
seq6354,baseline,1.3896824,4.013575
seq6355,baseline,1.3867104,4.001664
seq6356,baseline,1.3847867,3.9939737
seq6357,baseline,1.384565,3.9930885
seq6358,baseline,1.3775319,3.9651034
seq6359,baseline,1.3880848,4.007168
seq6360,baseline,1.383398,3.9884317
seq6361,baseline,1.3884302,4.0085526
seq6362,baseline,1.3880079,4.00686
seq6363,baseline,1.393623,4.0294223
seq6364,baseline,1.39476,4.034006
seq6365,baseline,1.3884221,4.00852
seq6366,baseline,1.3808358,3.978225
seq6367,baseline,1.3911374,4.019419
seq6368,baseline,1.3739412,3.9508913
seq6369,baseline,1.3834182,3.9885118
seq6370,baseline,1.3886021,4.0092416
seq6371,baseline,1.3890932,4.011211
seq6372,baseline,1.3763567,3.9604461
seq6373,baseline,1.3823446,3.9842322
seq6374,baseline,1.3815918,3.981234
seq6375,baseline,1.3908885,4.0184183
seq6376,baseline,1.3831658,3.9875054
seq6377,baseline,1.3845309,3.9929523
seq6378,baseline,1.3905425,4.017029
seq6379,baseline,1.3863013,4.0000277
seq6380,baseline,1.3858348,3.9981623
seq6381,baseline,1.3861976,3.9996126
seq6382,baseline,1.3807437,3.977859
seq6383,baseline,1.3787131,3.9697897
seq6384,baseline,1.3845162,3.992894
seq6385,baseline,1.3821117,3.9833043
seq6386,baseline,1.3815826,3.9811974
seq6387,baseline,1.3871137,4.0032787
seq6388,baseline,1.3822813,3.9839797
seq6389,baseline,1.3929961,4.0268965
seq6390,baseline,1.3903286,4.0161695
seq6391,baseline,1.3772933,3.9641573
seq6392,baseline,1.3907926,4.0180335
seq6393,baseline,1.3815973,3.9812558
seq6394,baseline,1.3804796,3.976808
seq6395,baseline,1.3867269,4.00173
seq6396,baseline,1.388433,4.008564
seq6397,baseline,1.3913553,4.020295
seq6398,baseline,1.3959086,4.038642
seq6399,baseline,1.3837616,3.9898815
seq6400,baseline,1.3826231,3.9853418
seq6401,baseline,1.3821346,3.983395
seq6402,baseline,1.3889925,4.010807
seq6403,baseline,1.3855466,3.9970102
seq6404,baseline,1.3898423,4.014217
seq6405,baseline,1.3854704,3.9967053
seq6406,baseline,1.3984222,4.048807
seq6407,baseline,1.3829242,3.986542
seq6408,baseline,1.383205,3.987662
seq6409,baseline,1.3802806,3.976017
seq6410,baseline,1.3809379,3.9786317
seq6411,baseline,1.3848107,3.9940693
seq6412,baseline,1.391291,4.0200367
seq6413,baseline,1.3876945,4.0056043
seq6414,baseline,1.3816384,3.9814193
seq6415,baseline,1.3879582,4.0066605
seq6416,baseline,1.3855305,3.9969459
seq6417,baseline,1.3905498,4.017058
seq6418,baseline,1.3748695,3.9545605
seq6419,baseline,1.381604,3.9812822
seq6420,baseline,1.3849176,3.994497
seq6421,baseline,1.3822857,3.9839973
seq6422,baseline,1.3833622,3.9882884
seq6423,baseline,1.3872851,4.003965
seq6424,baseline,1.4007736,4.0583386
seq6425,baseline,1.3876871,4.0055747
seq6426,baseline,1.3901347,4.015391
seq6427,baseline,1.3876703,4.0055075
seq6428,baseline,1.3824023,3.9844623
seq6429,baseline,1.3832846,3.9879792
seq6430,baseline,1.3882174,4.0077
seq6431,baseline,1.3809315,3.978606
seq6432,baseline,1.3796515,3.973517
seq6433,baseline,1.3910702,4.0191493
seq6434,baseline,1.3885009,4.008836
seq6435,baseline,1.3840082,3.9908657
seq6436,baseline,1.3729038,3.9467945
seq6437,baseline,1.3861489,3.999418
seq6438,baseline,1.3843582,3.9922626
seq6439,baseline,1.386232,3.9997509
seq6440,baseline,1.3888397,4.0101943
seq6441,baseline,1.3849885,3.9947803
seq6442,baseline,1.3820828,3.9831889
seq6443,baseline,1.3706356,3.937853
seq6444,baseline,1.3895762,4.013149
seq6445,baseline,1.3837379,3.9897873
seq6446,baseline,1.3787155,3.969799
seq6447,baseline,1.3896575,4.0134754
seq6448,baseline,1.3832628,3.9878917
seq6449,baseline,1.3798951,3.9744844
seq6450,baseline,1.3924078,4.0245285
seq6451,baseline,1.3884898,4.0087914
seq6452,baseline,1.3781502,3.9675558
seq6453,baseline,1.3948729,4.034462
seq6454,baseline,1.3818917,3.9824283
seq6455,baseline,1.3819091,3.9824977
seq6456,baseline,1.3897256,4.013748
seq6457,baseline,1.379707,3.973737
seq6458,baseline,1.3815099,3.9809077
seq6459,baseline,1.38274,3.985808
seq6460,baseline,1.3901739,4.0155487
seq6461,baseline,1.386722,4.001711
seq6462,baseline,1.3867406,4.0017853
seq6463,baseline,1.3886251,4.009334
seq6464,baseline,1.3822992,3.984051
seq6465,baseline,1.391854,4.0223007
seq6466,baseline,1.3805847,3.9772265
seq6467,baseline,1.3822948,3.9840333
seq6468,baseline,1.3855366,3.9969702
seq6469,baseline,1.3765277,3.9611232
seq6470,baseline,1.3869151,4.002484
seq6471,baseline,1.3909483,4.018659
seq6472,baseline,1.3859994,3.9988205
seq6473,baseline,1.3795218,3.9730015
seq6474,baseline,1.3815875,3.981217
seq6475,baseline,1.3774226,3.96467
seq6476,baseline,1.3887749,4.0099344
seq6477,baseline,1.3833339,3.9881756
seq6478,baseline,1.3779793,3.9668775
seq6479,baseline,1.3796118,3.973359
seq6480,baseline,1.383979,3.9907494
seq6481,baseline,1.3855464,3.9970093
seq6482,baseline,1.3788806,3.9704547
seq6483,baseline,1.3873755,4.004327
seq6484,baseline,1.3912926,4.020043
seq6485,baseline,1.3838553,3.9902556
seq6486,baseline,1.3865713,4.0011077
seq6487,baseline,1.3834683,3.9887116
seq6488,baseline,1.3739783,3.9510376
seq6489,baseline,1.3861305,3.9993443
seq6490,baseline,1.3815855,3.9812086
seq6491,baseline,1.3832635,3.9878948
seq6492,baseline,1.3902997,4.016053
seq6493,baseline,1.3842937,3.9920053
seq6494,baseline,1.3880672,4.0070977
seq6495,baseline,1.386335,4.000163
seq6496,baseline,1.3791645,3.971582
seq6497,baseline,1.3845161,3.9928937
seq6498,baseline,1.3916124,4.021329
seq6499,baseline,1.3845162,3.992894
seq6500,baseline,1.3916299,4.0213995
seq6501,baseline,1.3762646,3.9600813
seq6502,baseline,1.3783714,3.9684331
seq6503,baseline,1.3872701,4.003905
seq6504,baseline,1.3816018,3.9812737
seq6505,baseline,1.3882931,4.008003
seq6506,baseline,1.3800223,3.9749901
seq6507,baseline,1.3894614,4.012688
seq6508,baseline,1.3760643,3.9592881
seq6509,baseline,1.3841517,3.9914384
seq6510,baseline,1.3936563,4.0295563
seq6511,baseline,1.3837833,3.9899683
seq6512,baseline,1.3808937,3.9784558
seq6513,baseline,1.3966342,4.041574
seq6514,baseline,1.3806427,3.977457
seq6515,baseline,1.3913382,4.0202265
seq6516,baseline,1.384743,3.9937994
seq6517,baseline,1.3833889,3.9883952
seq6518,baseline,1.3886575,4.0094633
seq6519,baseline,1.3936653,4.029593
seq6520,baseline,1.3885705,4.009115
seq6521,baseline,1.389181,4.0115633
seq6522,baseline,1.3836195,3.9893148
seq6523,baseline,1.3770083,3.9630275
seq6524,baseline,1.3865906,4.0011854
seq6525,baseline,1.3820276,3.9829693
seq6526,baseline,1.3794284,3.9726303
seq6527,baseline,1.3891723,4.0115285
seq6528,baseline,1.3849198,3.9945052
seq6529,baseline,1.3846443,3.9934053
seq6530,baseline,1.3834633,3.9886918
seq6531,baseline,1.3798909,3.974468
seq6532,baseline,1.3873234,4.004118
seq6533,baseline,1.3786675,3.9696083
seq6534,baseline,1.3931619,4.027565
seq6535,baseline,1.3811586,3.9795096
seq6536,baseline,1.37815,3.9675546
seq6537,baseline,1.3884876,4.008783
seq6538,baseline,1.3869481,4.002616
seq6539,baseline,1.3987479,4.0501256
seq6540,baseline,1.3879371,4.0065765
seq6541,baseline,1.3910911,4.019233
seq6542,baseline,1.3767786,3.9621174
seq6543,baseline,1.3799927,3.9748726
seq6544,baseline,1.3795584,3.9731467
seq6545,baseline,1.3849638,3.9946811
seq6546,baseline,1.3891591,4.011475
seq6547,baseline,1.3820744,3.9831557
seq6548,baseline,1.3858123,3.9980721
seq6549,baseline,1.3820565,3.9830844
seq6550,baseline,1.378211,3.967797
seq6551,baseline,1.3862078,3.9996538
seq6552,baseline,1.3932655,4.0279818
seq6553,baseline,1.3884306,4.008554
seq6554,baseline,1.3776687,3.965646
seq6555,baseline,1.3776823,3.9656997
seq6556,baseline,1.3792796,3.9720392
seq6557,baseline,1.3920188,4.0229635
seq6558,baseline,1.3814654,3.9807308
seq6559,baseline,1.3822818,3.9839816
seq6560,baseline,1.3826891,3.985605
seq6561,baseline,1.3872854,4.003966
seq6562,baseline,1.3822938,3.9840298
seq6563,baseline,1.3873649,4.0042844
seq6564,baseline,1.3849541,3.9946423
seq6565,baseline,1.3843926,3.9924006
seq6566,baseline,1.379832,3.974234
seq6567,baseline,1.3928391,4.0262647
seq6568,baseline,1.3852662,3.9958897
seq6569,baseline,1.3903369,4.0162024
seq6570,baseline,1.3791599,3.9715636
seq6571,baseline,1.3938775,4.030448
seq6572,baseline,1.3924613,4.024744
seq6573,baseline,1.381286,3.9800167
seq6574,baseline,1.3860735,3.9991167
seq6575,baseline,1.381793,3.982035
seq6576,baseline,1.3849789,3.994742
seq6577,baseline,1.3880745,4.007127
seq6578,baseline,1.3908217,4.0181503
seq6579,baseline,1.3866864,4.0015683
seq6580,baseline,1.3856294,3.997341
seq6581,baseline,1.3931637,4.027572
seq6582,baseline,1.3797747,3.974006
seq6583,baseline,1.385635,3.9973633
seq6584,baseline,1.3893669,4.012309
seq6585,baseline,1.3925415,4.025067
seq6586,baseline,1.3923638,4.024351
seq6587,baseline,1.3991641,4.0518117
seq6588,baseline,1.3825451,3.9850314
seq6589,baseline,1.3867279,4.0017347
seq6590,baseline,1.3854982,3.9968164
seq6591,baseline,1.3855963,3.9972086
seq6592,baseline,1.3854557,3.996647
seq6593,baseline,1.3893815,4.0123677
seq6594,baseline,1.382708,3.9856799
seq6595,baseline,1.3810437,3.9790523
seq6596,baseline,1.381375,3.9803708
seq6597,baseline,1.3837863,3.9899802
seq6598,baseline,1.3849293,3.9945433
seq6599,baseline,1.3839091,3.9904704
seq6600,baseline,1.381642,3.9814339
seq6601,baseline,1.3827407,3.9858108
seq6602,baseline,1.3850949,3.995205
seq6603,baseline,1.3737595,3.9501736
seq6604,baseline,1.3916671,4.0215487
seq6605,baseline,1.3778265,3.9662714
seq6606,baseline,1.4014175,4.060952
seq6607,baseline,1.3910652,4.019129
seq6608,baseline,1.3869475,4.002613
seq6609,baseline,1.38916,4.0114794
seq6610,baseline,1.3726712,3.9458768
seq6611,baseline,1.3786647,3.9695976
seq6612,baseline,1.3906257,4.017363
seq6613,baseline,1.3988796,4.050659
seq6614,baseline,1.3771179,3.963462
seq6615,baseline,1.3827238,3.9857435
seq6616,baseline,1.3855934,3.997197
seq6617,baseline,1.38822,4.00771
seq6618,baseline,1.387782,4.0059547
seq6619,baseline,1.378586,3.9692852
seq6620,baseline,1.3941628,4.0315976
seq6621,baseline,1.3886563,4.0094585
seq6622,baseline,1.3868061,4.0020475
seq6623,baseline,1.3900406,4.015013
seq6624,baseline,1.3931339,4.0274515
seq6625,baseline,1.3787649,3.9699953
seq6626,baseline,1.3808656,3.9783435
seq6627,baseline,1.3858122,3.998072
seq6628,baseline,1.3855646,3.9970818
seq6629,baseline,1.3940898,4.0313034
seq6630,baseline,1.3912356,4.019814
seq6631,baseline,1.3845285,3.9929426
seq6632,baseline,1.3834765,3.9887443
seq6633,baseline,1.3958577,4.038437
seq6634,baseline,1.383437,3.988587
seq6635,baseline,1.3850226,3.9949162
seq6636,baseline,1.387245,4.0038047
seq6637,baseline,1.3904393,4.0166144
seq6638,baseline,1.3838532,3.990247
seq6639,baseline,1.383399,3.9884355
seq6640,baseline,1.3907279,4.0177736
seq6641,baseline,1.3900641,4.015107
seq6642,baseline,1.3849995,3.994824
seq6643,baseline,1.3862492,3.9998193
seq6644,baseline,1.3771622,3.9636376
seq6645,baseline,1.3793749,3.9724174
seq6646,baseline,1.379803,3.9741182
seq6647,baseline,1.3879743,4.006725
seq6648,baseline,1.3799253,3.9746046
seq6649,baseline,1.3941861,4.031692
seq6650,baseline,1.3834187,3.9885137
seq6651,baseline,1.3826125,3.9852996
seq6652,baseline,1.3856814,3.997549
seq6653,baseline,1.3931164,4.027381
seq6654,baseline,1.375567,3.9573195
seq6655,baseline,1.3880296,4.006947
seq6656,baseline,1.389937,4.0145974
seq6657,baseline,1.3776102,3.9654138
seq6658,baseline,1.3839636,3.9906876
seq6659,baseline,1.3833632,3.9882927
seq6660,baseline,1.3863075,4.0000525
seq6661,baseline,1.385726,3.9977267
seq6662,baseline,1.3925935,4.025276
seq6663,baseline,1.3914905,4.0208387
seq6664,baseline,1.3818386,3.9822164
seq6665,baseline,1.3850543,3.995043
seq6666,baseline,1.3842585,3.991865
seq6667,baseline,1.3795571,3.9731414
seq6668,baseline,1.381892,3.982429
seq6669,baseline,1.3792353,3.9718633
seq6670,baseline,1.3824086,3.9844868
seq6671,baseline,1.3790295,3.9710457
seq6672,baseline,1.3924615,4.024745
seq6673,baseline,1.3828908,3.9864087
seq6674,baseline,1.3919257,4.0225887
seq6675,baseline,1.3803846,3.9764307
seq6676,baseline,1.3952649,4.036043
seq6677,baseline,1.3824619,3.9846995
seq6678,baseline,1.390539,4.017015
seq6679,baseline,1.3835905,3.9891994
seq6680,baseline,1.3853811,3.9963486
seq6681,baseline,1.3838905,3.9903963
seq6682,baseline,1.3885648,4.0090923
seq6683,baseline,1.3928627,4.02636
seq6684,baseline,1.3894924,4.0128126
seq6685,baseline,1.3824729,3.984743
seq6686,baseline,1.3985808,4.049449
seq6687,baseline,1.3759671,3.958904
seq6688,baseline,1.3862543,3.9998398
seq6689,baseline,1.3878484,4.006221
seq6690,baseline,1.382545,3.9850307
seq6691,baseline,1.3806809,3.9776092
seq6692,baseline,1.3838782,3.9903474
seq6693,baseline,1.3821076,3.9832878
seq6694,baseline,1.3813287,3.9801865
seq6695,baseline,1.3791765,3.9716296
seq6696,baseline,1.3807994,3.9780807
seq6697,baseline,1.3931227,4.0274067
seq6698,baseline,1.3863653,4.0002837
seq6699,baseline,1.387997,4.0068164
seq6700,baseline,1.3986111,4.0495715
seq6701,baseline,1.3784353,3.9686866
seq6702,baseline,1.384047,3.9910207
seq6703,baseline,1.3850579,3.995057
seq6704,baseline,1.3774362,3.9647238
seq6705,baseline,1.381472,3.980757
seq6706,baseline,1.3985691,4.0494013
seq6707,baseline,1.3811761,3.9795792
seq6708,baseline,1.3855351,3.9969642
seq6709,baseline,1.3846041,3.9932446
seq6710,baseline,1.3715824,3.9415832
seq6711,baseline,1.3787233,3.96983
seq6712,baseline,1.3754314,3.9567833
seq6713,baseline,1.3791205,3.9714074
seq6714,baseline,1.385614,3.9972796
seq6715,baseline,1.3874973,4.0048146
seq6716,baseline,1.3839474,3.990623
seq6717,baseline,1.3901322,4.015381
seq6718,baseline,1.3850918,3.9951925
seq6719,baseline,1.3816019,3.9812741
seq6720,baseline,1.3769108,3.9626415
seq6721,baseline,1.3931649,4.0275764
seq6722,baseline,1.3919101,4.0225263
seq6723,baseline,1.3848757,3.9943292
seq6724,baseline,1.3905879,4.017211
seq6725,baseline,1.3801723,3.9755864
seq6726,baseline,1.3892221,4.0117283
seq6727,baseline,1.3833803,3.988361
seq6728,baseline,1.3851833,3.9955585
seq6729,baseline,1.3784755,3.9688466
seq6730,baseline,1.3950424,4.0351458
seq6731,baseline,1.3824799,3.984771
seq6732,baseline,1.3950899,4.035337
seq6733,baseline,1.3880174,4.006898
seq6734,baseline,1.3828281,3.986159
seq6735,baseline,1.3877634,4.0058804
seq6736,baseline,1.3767323,3.9619343
seq6737,baseline,1.3923696,4.024375
seq6738,baseline,1.3933241,4.0282183
seq6739,baseline,1.3845979,3.9932199
seq6740,baseline,1.3928645,4.026367
seq6741,baseline,1.387265,4.0038843
seq6742,baseline,1.3809319,3.9786074
seq6743,baseline,1.3791331,3.9714575
